Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Hexdump;;Hexdump;eHexDump;eView2d;eBars;eLoHi;0;0;0;0;0;0;16;56324;10;;0;0;0;-;-;1;0;$0;-;;-;1;0;16;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
Map enabling the correction of injection time versus AMP and LAMB_SP;ip_ti_fac;C_7_INJR: """";eZweiInv;eViewText;eBars;eHiLo;0;0;0;0;0;0;6;6;10;;3;0;0;;-;0.000030517578;-0;$19F732;lambda setpoint;;-;0.0009765625;-0;10;0;0;0;3;eRom;0;$1917EE;eHiLo;0x-1;0;Ambient pressure (measured or adapted);;hPa;0.082917524987;-0;10;0;0;0;3;eRom;0;$1916F4;eHiLo;0x-1;0
c_cal_dummy_u8_1;c_cal_dummy_u8_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193335;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_2;c_cal_dummy_u8_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193336;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_3;c_cal_dummy_u8_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193337;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_4;c_cal_dummy_u8_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193338;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_5;c_cal_dummy_u8_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193339;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_6;c_cal_dummy_u8_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19333A;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_7;c_cal_dummy_u8_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19333B;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_8;c_cal_dummy_u8_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19333C;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
